GEOID10,dni
1354,4.428000000000001
1355,4.49600005
1364,4.512
1366,4.56
1367,4.3280001
1368,4.5
1370,4.476000075000001
1375,4.40399985
1378,4.5200001
1379,4.571999999999999
1420,4.5920001
1430,4.60200015
1431,4.6240001
1432,4.56
1436,4.56
1440,4.571999999999999
1450,4.584
1451,4.584
1452,4.568000049999999
1453,4.608
1460,4.584
1462,4.548000075
1463,4.5360001
1464,4.56
1468,4.567999999999999
1469,4.5520001
1473,4.584
1475,4.548000075
1501,4.608
1503,4.632
1505,4.615999899999999
1506,4.571999999999999
1507,4.576
1515,4.54800015
1516,4.5960001
1518,4.56
1520,4.67999985
1522,4.655999700000001
1523,4.576
1524,4.596
1531,4.600000199999999
1532,4.6080003
1534,4.56
1535,4.584
1540,4.596
1541,4.61280006
1542,4.6080003
1543,4.6240001
1545,4.5920001
1562,4.576
1564,4.59600015
1566,4.5720003
1568,4.584
1569,4.59000015
1570,4.571999999999999
1581,4.6080003
1583,4.6080003
1585,4.59600015
1590,4.5984001800000005
1603,4.68
1605,4.632
1612,4.632
1702,4.6080003
1719,4.584
1720,4.584
1740,4.632
1741,4.59600015
1742,4.59600015
1745,4.632
1746,4.584
1747,4.632
1748,4.624000099999999
1749,4.655999700000001
1752,4.6080003
1756,4.632
1757,4.584
1760,4.6080003
1770,4.584
1772,4.6080003
1773,4.632
1775,4.56
1776,4.59600015
1778,4.584
1801,4.6080003
1803,4.632
1810,4.555200059999999
1821,4.571999999999999
1824,4.568
1826,4.6080003
1827,4.536
1830,4.6080003
1834,4.6080003
1844,4.655999700000001
1850,4.5360003
1854,4.5600001500000005
1862,4.584
1876,4.54800015
1879,4.5360003
1886,4.56
1887,4.56
1890,4.632
1906,4.632
1913,4.6080003
1915,4.59600015
1921,4.584000059999999
1922,4.6080003
1929,4.620000149999999
1930,4.54799985
1938,4.6079999
1940,4.608
1944,4.47599985
1951,4.632
1952,4.54799985
1960,4.632
1969,4.6080003
1970,4.404
1982,4.584
1983,4.632
1984,4.584
1985,4.64399985
2019,4.56
2021,4.620000149999999
2025,4.61999985
2030,4.608
2038,4.576
2043,4.595999924999999
2045,4.47599985
2048,4.56
2050,4.607999850000001
2052,4.56
2053,4.584
2054,4.571999999999999
2061,4.58400015
2062,4.584
2066,4.655999700000001
2072,4.620000149999999
2081,4.6080003
2090,4.655999700000001
2093,4.584
2127,4.524
2128,4.512
2129,4.68
2152,4.44
2169,4.64399985
2176,4.68
2180,4.6080003
2184,4.6080003
2186,4.632
2189,4.655999700000001
2190,4.632
2301,4.56
2322,4.632
2330,4.518000075
2332,4.5600001
2333,4.52400015
2338,4.4639997
2341,4.52400015
2346,4.5291429
2347,4.512000100000001
2351,4.58400015
2356,4.56
2359,4.5440002
2360,4.56720006
2364,4.4639997
2366,4.56
2367,4.512
2368,4.6080003
2375,4.5360003
2379,4.5360003
2382,4.512
2421,4.655999700000001
2445,4.632
2462,4.632
2472,4.6080003
2476,4.68
2482,4.6080003
2492,4.6080003
2493,4.6080003
